Q3 2019 Architecture S1,Q3 2019 Architecture S2,Q3 2019 Architecture S3,Q3 2019 Architecture S4,Q4 2019 Architecture S1,Q4 2019 Architecture S2,Q4 2019 Architecture S3,Q4 2019 Architecture S4,Q1 2020 Architecture S1,Q1 2020 Architecture S2,Q1 2020 Architecture S3,Q1 2020 Architecture S4,Q2 2020 Architecture S1,Q2 2020 Architecture S2,Q2 2020 Architecture S3,Q3 2020 Architecture S1,Q3 2020 Architecture S2,Q3 2020 Architecture S3,Q3 2020 Architecture S4,Q4 2020 Architecture S1,Q4 2020 Architecture S2,Q4 2020 Architecture S3,Q4 2020 Architecture S4,Q3 2019 Charge Integrity S1,Q3 2019 Charge Integrity S2,Q3 2019 Charge Integrity S3,Q3 2019 Charge Integrity S4,Q4 2019 Charge Integrity S1,Q4 2019 Charge Integrity S2,Q4 2019 Charge Integrity S3,Q1 2020 Charge Integrity S1,Q1 2020 Charge Integrity S2,Q1 2020 Charge Integrity S3,Q1 2020 Charge Integrity S4,Q2 2020 Charge Integrity S1,Q2 2020 Charge Integrity S2,Q2 2020 Charge Integrity S3,Q2 2020 Charge Integrity S4,Q3 2020 Charge Integrity S1,Q3 2020 Charge Integrity S2,Q3 2020 Charge Integrity S3,Q4 2020 Charge Integrity S1,Q4 2020 Charge Integrity S2,Q4 2020 Charge Integrity S3,Q4 2020 Charge Integrity S4,Q1 2021 Charge Integrity S1,Q1 2021 Charge Integrity S2,Q1 2021 Charge Integrity S3,Q3 2019 Claims S2,Q3 2019 Claims S3,Q3 2019 Claims S4,Q4 2019 Claims S1,Q4 2019 Claims S2,Q4 2019 Claims S3,Q4 2019 Claims S4,Q1 2020 Claims S1,Q1 2020 Claims S2,Q1 2020 Claims S3,Q1 2020 Claims S4,Q2 2020 Claims S1,Q2 2020 Claims S2,Q2 2020 Claims S3,Q2 2020 Claims S4,Q3 2020 Claims S2,Q3 2020 Claims S3,Q3 2020 Claims S4,Q4 2020 Claims S1,Q4 2020 Claims S2,Q4 2020 Claims S3,Q4 2020 Claims S4,Q1 2021 Claims S1,Q1 2021 Claims S2,Q1 2021 Claims S3,Q1 2021 Claims S4,Q3 2019 Contract Management S2,Q3 2019 Contract Management S3,Q4 2019 Contract Management S2,Q4 2019 Contract Management S3,Q1 2020 Contract Management S1,Q1 2020 Contract Management S2,Q1 2020 Contract Management S3,Q1 2020 Contract Management S4,Q3 2020 Contract Management S 2,Q4 2020 Contract Management S 1,Q4 2020 Contract Management S 2,Q4 2020 Contract Management S 3,Q4 2020 Contract Management S4,Q1 2021 Contract Management S1,Q1 2021 Contract Management S2,Q1 2021 Contract Management S3,Q1 2021 Contract Management S4,Q4 2019 Coverage Detection S3,Q1 2021 Coverage Detection S1,Q1 2021 Coverage Detection S2,Q1 2021 Coverage Detection S3,Q1 2021 Coverage Detection S4,Q3 2019 Denial Management S4,Q4 2019 Denial Management S3,Q1 2020 Denial Management S2,Q1 2020 Denial Management S3,Q1 2020 Denial Management S4,Q2 2020 Denial Management S1,Q2 2020 Denial Management S3,Q2 2020 Denial Management S2,Q2 2020 Denial Management S4,Q3 2020 Denial Management S3,Q4 2020 Denial Management S3,Q4 2020 Denial Management S4,Q1 2021 Denial Management S1,Q1 2021 Denial Management S2,Q1 2021 Denial Management S3,Q1 2021 Denial Management S4,Q1 2020 Eligibility S1,Q1 2020 Eligibility S2,Q1 2020 Eligibility S3,Q3 2019 Eligibility S2,Q4 2019 Eligibility S3,Q4 2019 Eligibility S4,Q2 2020 Eligibility S1,Q2 2020 Eligibility S2,Q2 2020 Eligibility S3,Q2 2020 Eligibility S4,Q3 2020 Eligibility S3,Q3 2020 Eligibility S4,Q4 2020 Eligibility S1,Q4 2020 Eligibility S2,Q4 2020 Eligibility S3,Q4 2020 Eligibility S4,Q3 2019 Estimation S4,Q4 2019 Estimation S2,Q4 2019 Estimation S4,Q1 2020 Estimation S2,Q2 2020 Estimation S1,Q2 2020 Estimation S2,Q2 2020 Estimation S3,Q2 2020 Estimation S4,Q1 2020 Infrastructure S1,Q4 2018 Internal S2,Q4 2018 Internal S4,Q3 2019 Internal S2,Q3 2019 Internal S3,Q3 2019 Internal S4,Q4 2019 Internal S4,Q1 2020 Internal S1,Q1 2020 Internal S2,Q1 2020 Internal S3,Q1 2020 Internal S4,Q2 2020 Internal S1,Q2 2020 Internal S2,Q2 2020 Internal S3,Q2 2020 Internal S4,Q4 2020 Internal S4,Q1 2021 Internal S1,Q1 2021 Internal S2,Q1 2021 Internal S3,Q1 2021 Internal S4,Q3 2019 Patient Payments S2,Q3 2019 Patient Payments S3,Q3 2019 Patient Payments S4,Q4 2019 Patient Payments S2,Q4 2019 Patient Payments S3,Q4 2019 Patient Payments S4,Q1 2020 Patient Payments S2,Q1 2020 Patient Payments S3,Q1 2020 Patient Payments S4,Q2 2020 Patient Payments S1,Q2 2020 Patient Payments S2,Q2 2020 Patient Payments S3,Q2 2020 Patient Payments S4,Q3 2020 Patient Payments S1,Q3 2020 Patient Payments S2,Q3 2020 Patient Payments S3,Q3 2020 Patient Payments S4,Q4 2020 Patient Payments S1,Q4 2020 Patient Payments S2,Q4 2020 Patient Payments S3,Q4 2020 Patient Payments S4,Q1 2021 Patient Payments S1,Q1 2021 Patient Payments S2,Q1 2021 Patient Payments S3,Q1 2021 Patient Payments S4,Q3 2019 Remits S2,Q3 2019 Remits S3,Q3 2019 Remits S4,Q4 2019 Remits S1,Q4 2019 Remits S2,Q4 2019 Remits S3,Q4 2019 Remits S4,Q1 2020 Remits S2,Q1 2020 Remits S3,Q1 2020 Remits S4,Q2 2020 Remits S1,Q2 2020 Remits S2,Q2 2020 Remits S3,Q2 2020 Remits S4,Q3 2020 Remits S3,Q3 2020 Remits S4,Q4 2020 Remits S1,Q4 2020 Remits S2,Q4 2020 Remits S3,Q4 2020 Remits S4,Q1 2021 Remits S1,Q1 2021 Remits S2,Q1 2021 Remits S3,Q1 2021 Remits S4,Q3 2019 All S1,Q4 2019 All S1,Q1 2020 All S1,Q2 2020 All S1,Q3 2019 All S2,Q4 2019 All S2,Q1 2020 AllS2,Q3 2019 All S3,Q4 2019 All S3,Q1 2020 All S3,Q3 2019 All S4,Q4 2019 All S4,Q1 2020 All S4,Q2 2020 All S1,Q2 2020 All S2,Q2 2020 All S3,Q2 2020 All S4,Q3 2020 All S1,Q3 2020 All S2,Q3 2020 All S3,Q3 2020 All S4,Q4 2020 All S1,Q4 2020 All S2,Q4 2020 All S3,Q4 2020 All S4,Q1 2021 All S1,Q1 2021 All S2,Q1 2021 All S3,Q1 2021 All S4
,,,,,,,,,,,,,,,,,,,,,,,,,71.05,,,,,,,,,,,,,,,,,,,,,,,,11.96,,,,6.84,,,,,,,,,,,18.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,,,,,,,,,,,,,,,,,,,,,13.84,,,,,,,,,,,,,,,,,,,,,,,,,,,1.89,3.92,0.98,2.27,4.14,15.95,38.76,15,64.07,,15.59,6.83,,,10.25,76.8,41.83,,,13.27,12.92,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,33.09,,,,,,,,,,,,,,,,,,,,,,,,22.4,,,,32.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.11,,,,,,,,,,,,,,,,,,,,,,,,,,,2.07,4.3,0.77,2.96,4.09,1.86,19.86,21.86,4.08,,4.06,39.08,,,14.09,76.03,11.93,,,5.08,11.12,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,21.17,,,,,,,,,,,,,,,,,,,,,,,,81.95,,,,27.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.07,4.96,0.13,1.71,4.12,0.72,21.87,24.89,5.95,,14.05,39,,,3.04,41.03,22.81,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,16.01,,,,,,,,,,,,,,,,,,,,,,,,16.67,,,,11.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.77,4.88,0.09,3.96,3.83,16.19,61.87,14.75,0.07,,1.14,49.12,,,2.12,9.07,0.89,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,15.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.31,3.92,1.8,4.87,3.78,0.1,55,31.72,28.94,,0.11,15.95,,,1.8,9,22.11,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.98,7.84,,3.22,8.91,7.1,21.85,,4.08,,0.86,1.18,,,0.26,19.12,22.01,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.73,5.99,,3.69,8.92,34.74,18.79,,16.14,,1.04,0.82,,,3.85,17.7,6.84,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.57,9.31,,3.22,5.94,0.05,12.77,,13.78,,3.15,35.01,,,3.98,4.94,5.28,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.82,5.91,,3.98,7.19,3.87,11.84,,64.07,,0.03,34,,,1.09,15.91,2.97,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.1,7.17,,3.96,6.84,25.26,14.04,,4.08,,11.89,31.18,,,6.08,18.97,4.14,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.01,8.24,,4.31,5.99,31,16.9,,5.95,,0.98,1.97,,,0.64,13.7,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.01,,5.88,6.73,13.8,20.99,,0.07,,0.63,30.13,,,2.97,0.07,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.09,,9.22,7.93,12.06,21.01,,28.94,,0.16,4.86,,,4.04,55.75,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.02,,8.86,14.96,8.92,114.83,,4.08,,2.92,17.97,,,29.12,32.02,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.63,,7.94,25.09,0.87,21.86,,16.14,,1.71,1.98,,,1.01,16.08,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.88,,7.83,42.77,17.85,33.05,,,,0.28,15.24,,,0.02,0.06,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.05,,7.74,36.71,15.73,26.36,,,,,13.02,,,5.04,0.04,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.83,,8.42,84.03,,,,,,,13.82,,,7.98,1.99,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.23,73.07,,,,,,,3.03,,,0.05,6.97,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.86,25.18,,,,,,,5.92,,,15.04,0.08,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.94,48,,,,,,,,,,4.75,21.04,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.18,72.18,,,,,,,,,,,11.08,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.15,20.12,,,,,,,,,,,21.69,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.19,24.39,,,,,,,,,,,8.73,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.98,18.82,,,,,,,,,,,18.89,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.22,26.89,,,,,,,,,,,3.1,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.77,92.97,,,,,,,,,,,16.96,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.86,21.94,,,,,,,,,,,2.22,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.34,11.26,,,,,,,,,,,9,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.05,19.91,,,,,,,,,,,16.18,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.76,16.76,,,,,,,,,,,8.97,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.72,25.04,,,,,,,,,,,0.07,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.76,32.11,,,,,,,,,,,27.04,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.09,27.96,,,,,,,,,,,18.92,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.96,37.09,,,,,,,,,,,4,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.84,19.2,,,,,,,,,,,1.92,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.17,12.01,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.03,11.82,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.96,11.35,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.96,27.12,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.11,19.09,,,,,,,,,,,,,,,,,,,,
