Q1 2019 Architecture S1,Q1 2019 Architecture S2,Q1 2019 Architecture S3,Q1 2019 Architecture S4,Q2 2019 Architecture S1,Q2 2019 Architecture S2,Q2 2019 Architecture S3,Q2 2019 Architecture S4,Q3 2019 Architecture S1,Q3 2019 Architecture S2,Q3 2019 Architecture S3,Q3 2019 Architecture S4,Q4 2019 Architecture S1,Q4 2019 Architecture S2,Q4 2019 Architecture S3,Q4 2019 Architecture S4,Q1 2020 Architecture S1,Q1 2020 Architecture S2,Q1 2020 Architecture S3,Q1 2020 Architecture S4,Q2 2020 Architecture S1,Q2 2020 Architecture S2,Q2 2020 Architecture S3,Q3 2020 Architecture S1,Q3 2020 Architecture S2,Q3 2020 Architecture S3,Q3 2020 Architecture S4,Q4 2020 Architecture S1,Q4 2020 Architecture S2,Q4 2020 Architecture S3,Q4 2020 Architecture S4,Q1 2019 Charge Integrity S1,Q1 2019 Charge Integrity S2,Q1 2019 Charge Integrity S3,Q1 2019 Charge Integrity S4,Q2 2019 Charge Integrity S1,Q2 2019 Charge Integrity S2,Q2 2019 Charge Integrity S3,Q3 2019 Charge Integrity S1,Q3 2019 Charge Integrity S2,Q3 2019 Charge Integrity S3,Q3 2019 Charge Integrity S4,Q4 2019 Charge Integrity S1,Q4 2019 Charge Integrity S2,Q4 2019 Charge Integrity S3,Q1 2020 Charge Integrity S1,Q1 2020 Charge Integrity S2,Q1 2020 Charge Integrity S3,Q1 2020 Charge Integrity S4,Q2 2020 Charge Integrity S1,Q2 2020 Charge Integrity S2,Q2 2020 Charge Integrity S3,Q2 2020 Charge Integrity S4,Q3 2020 Charge Integrity S1,Q3 2020 Charge Integrity S2,Q3 2020 Charge Integrity S3,Q4 2020 Charge Integrity S1,Q4 2020 Charge Integrity S2,Q4 2020 Charge Integrity S3,Q4 2020 Charge Integrity S4,Q1 2021 Charge Integrity S1,Q1 2021 Charge Integrity S2,Q1 2021 Charge Integrity S3,Q1 2019 Claims S1,Q1 2019 Claims S2,Q1 2019 Claims S3,Q1 2019 Claims S4,Q2 2019 Claims S1,Q2 2019 Claims S2,Q2 2019 Claims S3,Q2 2019 Claims S4,Q3 2019 Claims S2,Q3 2019 Claims S3,Q3 2019 Claims S4,Q4 2019 Claims S1,Q4 2019 Claims S2,Q4 2019 Claims S3,Q4 2019 Claims S4,Q1 2020 Claims S1,Q1 2020 Claims S2,Q1 2020 Claims S3,Q1 2020 Claims S4,Q2 2020 Claims S1,Q2 2020 Claims S2,Q2 2020 Claims S3,Q2 2020 Claims S4,Q3 2020 Claims S2,Q3 2020 Claims S3,Q3 2020 Claims S4,Q4 2020 Claims S1,Q4 2020 Claims S2,Q4 2020 Claims S3,Q4 2020 Claims S4,Q1 2021 Claims S1,Q1 2021 Claims S2,Q1 2021 Claims S3,Q1 2021 Claims S4,Q2 2019 Contract Management S2,Q2 2019 Contract Management S3,Q3 2019 Contract Management S2,Q3 2019 Contract Management S3,Q4 2019 Contract Management S2,Q4 2019 Contract Management S3,Q1 2020 Contract Management S1,Q1 2020 Contract Management S2,Q1 2020 Contract Management S3,Q1 2020 Contract Management S4,Q3 2020 Contract Management S 2,Q4 2020 Contract Management S 1,Q4 2020 Contract Management S 2,Q4 2020 Contract Management S 3,Q4 2020 Contract Management S4,Q1 2021 Contract Management S1,Q1 2021 Contract Management S2,Q1 2021 Contract Management S3,Q1 2021 Contract Management S4,Q4 2018 Coverage Detection S2,Q4 2018 Coverage Detection S3,Q4 2018 Coverage Detection S4,Q1 2019 Coverage Detection S3,Q2 2019 Coverage Detection S3,Q4 2019 Coverage Detection S3,Q1 2021 Coverage Detection S1,Q1 2021 Coverage Detection S2,Q1 2021 Coverage Detection S3,Q1 2021 Coverage Detection S4,Q4 2018 Denial Management S3,Q1 2019 Denial Management S3,Q1 2019 Denial Management S4,Q2 2019 Denial Management S3,Q2 2019 Denial Management S4,Q3 2019 Denial Management S4,Q4 2019 Denial Management S3,Q1 2020 Denial Management S2,Q1 2020 Denial Management S3,Q1 2020 Denial Management S4,Q2 2020 Denial Management S1,Q2 2020 Denial Management S3,Q2 2020 Denial Management S2,Q2 2020 Denial Management S4,Q3 2020 Denial Management S3,Q4 2020 Denial Management S3,Q4 2020 Denial Management S4,Q1 2021 Denial Management S1,Q1 2021 Denial Management S2,Q1 2021 Denial Management S3,Q1 2021 Denial Management S4,Q1 2020 Eligibility S1,Q1 2020 Eligibility S2,Q1 2020 Eligibility S3,Q2 2019 Eligibility S1,Q2 2019 Eligibility S3,Q2 2019 Eligibility S4,Q3 2019 Eligibility S2,Q4 2019 Eligibility S3,Q4 2019 Eligibility S4,Q2 2020 Eligibility S1,Q2 2020 Eligibility S2,Q2 2020 Eligibility S3,Q2 2020 Eligibility S4,Q3 2020 Eligibility S3,Q3 2020 Eligibility S4,Q4 2020 Eligibility S1,Q4 2020 Eligibility S2,Q4 2020 Eligibility S3,Q4 2020 Eligibility S4,Q1 2019 Estimation S1,Q1 2019 Estimation S2,Q1 2019 Estimation S3,Q1 2019 Estimation S4,Q2 2019 Estimation S3,Q2 2019 Estimation S4,Q3 2019 Estimation S4,Q4 2019 Estimation S2,Q4 2019 Estimation S4,Q1 2020 Estimation S2,Q2 2020 Estimation S1,Q2 2020 Estimation S2,Q2 2020 Estimation S3,Q2 2020 Estimation S4,Q1 2020 Infrastructure S1,Q4 2018 Internal S2,Q4 2018 Internal S4,Q1 2019 Internal S3,Q1 2019 Internal S4,Q2 2019 Internal S2,Q2 2019 Internal S3,Q2 2019 Internal S4,Q3 2019 Internal S2,Q3 2019 Internal S3,Q3 2019 Internal S4,Q4 2019 Internal S4,Q1 2020 Internal S1,Q1 2020 Internal S2,Q1 2020 Internal S3,Q1 2020 Internal S4,Q2 2020 Internal S1,Q2 2020 Internal S2,Q2 2020 Internal S3,Q2 2020 Internal S4,Q4 2020 Internal S4,Q1 2021 Internal S1,Q1 2021 Internal S2,Q1 2021 Internal S3,Q1 2021 Internal S4,Q1 2019 Patient Payments S2,Q1 2019 Patient Payments S3,Q1 2019 Patient Payments S4,Q2 2019 Patient Payments S2,Q2 2019 Patient Payments S3,Q2 2019 Patient Payments S4,Q3 2019 Patient Payments S2,Q3 2019 Patient Payments S3,Q3 2019 Patient Payments S4,Q4 2019 Patient Payments S2,Q4 2019 Patient Payments S3,Q4 2019 Patient Payments S4,Q1 2020 Patient Payments S2,Q1 2020 Patient Payments S3,Q1 2020 Patient Payments S4,Q2 2020 Patient Payments S1,Q2 2020 Patient Payments S2,Q2 2020 Patient Payments S3,Q2 2020 Patient Payments S4,Q3 2020 Patient Payments S1,Q3 2020 Patient Payments S2,Q3 2020 Patient Payments S3,Q3 2020 Patient Payments S4,Q4 2020 Patient Payments S1,Q4 2020 Patient Payments S2,Q4 2020 Patient Payments S3,Q4 2020 Patient Payments S4,Q1 2021 Patient Payments S1,Q1 2021 Patient Payments S2,Q1 2021 Patient Payments S3,Q1 2021 Patient Payments S4,Q1 2019 Remits S2,Q1 2019 Remits S3,Q2 2019 Remits S1,Q2 2019 Remits S3,Q2 2019 Remits S4,Q3 2019 Remits S2,Q3 2019 Remits S3,Q3 2019 Remits S4,Q4 2019 Remits S1,Q4 2019 Remits S2,Q4 2019 Remits S3,Q4 2019 Remits S4,Q1 2020 Remits S2,Q1 2020 Remits S3,Q1 2020 Remits S4,Q2 2020 Remits S1,Q2 2020 Remits S2,Q2 2020 Remits S3,Q2 2020 Remits S4,Q3 2020 Remits S3,Q3 2020 Remits S4,Q4 2020 Remits S1,Q4 2020 Remits S2,Q4 2020 Remits S3,Q4 2020 Remits S4,Q1 2021 Remits S1,Q1 2021 Remits S2,Q1 2021 Remits S3,Q1 2021 Remits S4,Q1 2019 All S1,Q2 2019 All S1,Q3 2019 All S1,Q4 2019 All S1,Q1 2020 All S1,Q2 2020 All S1,Q1 2019 All S2,Q2 2019 All S2,Q3 2019 All S2,Q4 2019 All S2,Q1 2020 AllS2,Q1 2019 All S3,Q2 2019 All S3,Q3 2019 All S3,Q4 2019 All S3,Q1 2020 All S3,Q4 2018 S4,Q2 2019 All S4,Q3 2019 All S4,Q4 2019 All S4,Q1 2020 All S4,Q2 2020 All S1,Q2 2020 All S2,Q2 2020 All S3,Q2 2020 All S4,Q3 2020 All S1,Q3 2020 All S2,Q3 2020 All S3,Q3 2020 All S4,Q4 2020 All S1,Q4 2020 All S2,Q4 2020 All S3,Q4 2020 All S4,Q1 2021 All S1,Q1 2021 All S2,Q1 2021 All S3,Q1 2021 All S4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.89,,,6,99.26,,,71.05,,,,,,,,,,,,,,,,,,,,,,,,,15.91,,,,46.93,,,11.96,,,,6.84,,,,,,,,,,,18.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.11,,,,,,,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,13.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.21,1.99,1.89,3.92,0.98,2.94,1.49,2.27,4.14,15.95,10.77,22.29,38.76,15,64.07,,15.59,6.83,,,10.25,76.8,41.83,,,13.27,12.92,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.2,,,5.8,32.19,,,33.09,,,,,,,,,,,,,,,,,,,,,,,,,21.97,,,,,,,22.4,,,,32.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.03,1.86,2.07,4.3,0.77,2.47,1.44,2.96,4.09,1.86,35.74,31.79,19.86,21.86,4.08,,4.06,39.08,,,14.09,76.03,11.93,,,5.08,11.12,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.05,,,,88.8,,,21.17,,,,,,,,,,,,,,,,,,,,,,,,,19.91,,,,,,,81.95,,,,27.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.39,1.08,1.07,4.96,0.13,1.04,1.99,1.71,4.12,0.72,27.97,19.78,21.87,24.89,5.95,,14.05,39,,,3.04,41.03,22.81,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109.88,,,,27.27,,,16.01,,,,,,,,,,,,,,,,,,,,,,,,,17.82,,,,,,,16.67,,,,11.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.12,4.89,2.77,4.88,0.09,2.07,1.77,3.96,3.83,16.19,24.77,15.05,61.87,14.75,0.07,,1.14,49.12,,,2.12,9.07,0.89,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.84,,,,13.86,,,15.9,,,,,,,,,,,,,,,,,,,,,,,,,20.09,,,,,,,,,,,27.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.22,3.81,4.31,3.92,1.8,2.23,1.04,4.87,3.78,0.1,13.1,19.98,55,31.72,28.94,,0.11,15.95,,,1.8,9,22.11,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.05,,,,108.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.96,,,,,,,,,,,2.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.19,4.11,4.98,7.84,,2.26,4.99,3.22,8.91,7.1,38.02,25.02,21.85,,4.08,,0.86,1.18,,,0.26,19.12,22.01,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.2,,,,26.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.1,,,,,,,,,,,0.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.29,3.22,3.73,5.99,,2.15,4.95,3.69,8.92,34.74,18.03,23.23,18.79,,16.14,,1.04,0.82,,,3.85,17.7,6.84,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.01,,,,14.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.77,,,,,,,,,,,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.81,4.28,4.57,9.31,,1.96,4.88,3.22,5.94,0.05,,59.13,12.77,,13.78,,3.15,35.01,,,3.98,4.94,5.28,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.96,,,,20.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.83,,,,,,,,,,,22.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.65,5.15,7.82,5.91,,2.21,6.18,3.98,7.19,3.87,,13.91,11.84,,64.07,,0.03,34,,,1.09,15.91,2.97,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.86,,,,57.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.85,8.03,5.1,7.17,,1.87,8.03,3.96,6.84,25.26,,39.98,14.04,,4.08,,11.89,31.18,,,6.08,18.97,4.14,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,198.91,,,,27.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.09,6,5.01,8.24,,4.81,8.16,4.31,5.99,31,,27.11,16.9,,5.95,,0.98,1.97,,,0.64,13.7,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.08,,,,28.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.85,7.73,,39.01,,3.23,9.98,5.88,6.73,13.8,,17.68,20.99,,0.07,,0.63,30.13,,,2.97,0.07,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62,,,,60.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.17,5.8,,11.09,,3.33,7.86,9.22,7.93,12.06,,,21.01,,28.94,,0.16,4.86,,,4.04,55.75,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.06,7,,32.02,,6.95,9.09,8.86,14.96,8.92,,,114.83,,4.08,,2.92,17.97,,,29.12,32.02,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.91,43.85,,25.63,,5.95,6.11,7.94,25.09,0.87,,,21.86,,16.14,,1.71,1.98,,,1.01,16.08,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.89,,,16.88,,8.86,6.22,7.83,42.77,17.85,,,33.05,,,,0.28,15.24,,,0.02,0.06,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.21,,,39.05,,7.14,9.98,7.74,36.71,15.73,,,26.36,,,,,13.02,,,5.04,0.04,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.78,,,36.83,,7.03,6.84,8.42,84.03,,,,,,,,,13.82,,,7.98,1.99,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.92,,,,,7.05,81.79,9.23,73.07,,,,,,,,,3.03,,,0.05,6.97,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.02,,,,,6.97,19.24,16.86,25.18,,,,,,,,,5.92,,,15.04,0.08,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.12,,,,,8.78,26.94,35.94,48,,,,,,,,,,,,4.75,21.04,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.04,,,,,6.88,19.09,11.18,72.18,,,,,,,,,,,,,11.08,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.88,,,,,8.2,13.98,16.15,20.12,,,,,,,,,,,,,21.69,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.05,,,,,5.93,20.03,18.19,24.39,,,,,,,,,,,,,8.73,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.73,,,,,9.87,12.93,38.98,18.82,,,,,,,,,,,,,18.89,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.85,,,,,20.07,99.26,49.22,26.89,,,,,,,,,,,,,3.1,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.79,32.16,14.77,92.97,,,,,,,,,,,,,16.96,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.07,20.98,13.86,21.94,,,,,,,,,,,,,2.22,,,,,,,,,
